year,state,county,fips,vote_rep,vote_dem,vote_oth,vote_total,pct_rep,pct_dem,pct_oth,winner,runnerup,pct_winner,margin_winner_over_runnerup
2012,GA,Appling,13001,5233,1758,92,7083,73.88,24.82,1.3,rep,dem,73.88,49.06
2012,GA,Atkinson,13003,1938,930,34,2902,66.78,32.05,1.17,rep,dem,66.78,34.73
2012,GA,Bacon,13005,3093,791,46,3930,78.7,20.13,1.17,rep,dem,78.7,58.57
2012,GA,Baker,13007,785,794,10,1589,49.4,49.97,0.63,dem,rep,49.97,0.57
2012,GA,Baldwin,13009,7589,8483,160,16232,46.75,52.26,0.99,dem,rep,52.26,5.51
2012,GA,Banks,13011,5354,780,59,6193,86.45,12.59,0.95,rep,dem,86.45,73.86
2012,GA,Barrow,13013,18725,6028,433,25186,74.35,23.93,1.72,rep,dem,74.35,50.42
2012,GA,Bartow,13015,26876,8396,510,35782,75.11,23.46,1.43,rep,dem,75.11,51.65
2012,GA,Ben Hill,13017,3396,2512,44,5952,57.06,42.2,0.74,rep,dem,57.06,14.86
2012,GA,Berrien,13019,4843,1273,84,6200,78.11,20.53,1.35,rep,dem,78.11,57.58
2012,GA,Bibb,13021,25623,38585,482,64690,39.61,59.65,0.75,dem,rep,59.65,20.04
2012,GA,Bleckley,13023,3587,1269,51,4907,73.1,25.86,1.04,rep,dem,73.1,47.24
2012,GA,Brantley,13025,4964,939,99,6002,82.71,15.64,1.65,rep,dem,82.71,67.07
2012,GA,Brooks,13027,3554,3138,50,6742,52.71,46.54,0.74,rep,dem,52.71,6.17
2012,GA,Bryan,13029,9560,3707,172,13439,71.14,27.58,1.28,rep,dem,71.14,43.56
2012,GA,Bulloch,13031,14174,9593,302,24069,58.89,39.86,1.25,rep,dem,58.89,19.03
2012,GA,Burke,13033,4301,5405,72,9778,43.99,55.28,0.74,dem,rep,55.28,11.29
2012,GA,Butts,13035,6306,2968,100,9374,67.27,31.66,1.07,rep,dem,67.27,35.61
2012,GA,Calhoun,13037,883,1298,7,2188,40.36,59.32,0.32,dem,rep,59.32,18.96
2012,GA,Camden,13039,11343,6377,263,17983,63.08,35.46,1.46,rep,dem,63.08,27.62
2012,GA,Candler,13043,2344,1157,27,3528,66.44,32.79,0.77,rep,dem,66.44,33.65
2012,GA,Carroll,13045,28280,12688,563,41531,68.09,30.55,1.36,rep,dem,68.09,37.54
2012,GA,Catoosa,13047,17858,5365,434,23657,75.49,22.68,1.83,rep,dem,75.49,52.81
2012,GA,Charlton,13049,2527,1197,39,3763,67.15,31.81,1.04,rep,dem,67.15,35.34
2012,GA,Chatham,13051,47204,60246,1111,108561,43.48,55.5,1.02,dem,rep,55.5,12.02
2012,GA,Chattahoochee,13053,735,729,26,1490,49.33,48.93,1.74,rep,dem,49.33,0.4
2012,GA,Chattooga,13055,5452,2232,138,7822,69.7,28.53,1.76,rep,dem,69.7,41.17
2012,GA,Cherokee,13057,76514,19841,1758,98113,77.99,20.22,1.79,rep,dem,77.99,57.77
2012,GA,Clarke,13059,13815,25431,950,40196,34.37,63.27,2.36,dem,rep,63.27,28.9
2012,GA,Clay,13061,537,862,3,1402,38.3,61.48,0.21,dem,rep,61.48,23.18
2012,GA,Clayton,13063,14164,81479,424,96067,14.74,84.81,0.44,dem,rep,84.81,70.07
2012,GA,Clinch,13065,1598,852,22,2472,64.64,34.47,0.89,rep,dem,64.64,30.17
2012,GA,Cobb,13067,171722,133124,5024,309870,55.42,42.96,1.62,rep,dem,55.42,12.46
2012,GA,Coffee,13069,9248,5057,144,14449,64.0,35.0,1.0,rep,dem,64.0,29.0
2012,GA,Colquitt,13071,9243,3973,108,13324,69.37,29.82,0.81,rep,dem,69.37,39.55
2012,GA,Columbia,13073,41765,16451,699,58915,70.89,27.92,1.19,rep,dem,70.89,42.97
2012,GA,Cook,13075,3935,2042,51,6028,65.28,33.88,0.85,rep,dem,65.28,31.4
2012,GA,Coweta,13077,39653,15168,723,55544,71.39,27.31,1.3,rep,dem,71.39,44.08
2012,GA,Crawford,13079,3368,1706,58,5132,65.63,33.24,1.13,rep,dem,65.63,32.39
2012,GA,Crisp,13081,4182,3167,47,7396,56.54,42.82,0.64,rep,dem,56.54,13.72
2012,GA,Dade,13083,4471,1411,135,6017,74.31,23.45,2.24,rep,dem,74.31,50.86
2012,GA,Dawson,13085,8847,1241,150,10238,86.41,12.12,1.47,rep,dem,86.41,74.29
2012,GA,Decatur,13087,5824,4591,69,10484,55.55,43.79,0.66,rep,dem,55.55,11.76
2012,GA,DeKalb,13089,64392,238224,3292,305908,21.05,77.87,1.08,dem,rep,77.87,56.82
2012,GA,Dodge,13091,5214,2442,77,7733,67.43,31.58,1.0,rep,dem,67.43,35.85
2012,GA,Dooly,13093,1985,2285,28,4298,46.18,53.16,0.65,dem,rep,53.16,6.98
2012,GA,Dougherty,13095,11449,26295,172,37916,30.2,69.35,0.45,dem,rep,69.35,39.15
2012,GA,Douglas,13097,26241,28441,565,55247,47.5,51.48,1.02,dem,rep,51.48,3.98
2012,GA,Early,13099,2557,2765,31,5353,47.77,51.65,0.58,dem,rep,51.65,3.88
2012,GA,Echols,13101,917,173,12,1102,83.21,15.7,1.09,rep,dem,83.21,67.51
2012,GA,Effingham,13103,15596,4947,248,20791,75.01,23.79,1.19,rep,dem,75.01,51.22
2012,GA,Elbert,13105,4859,3181,103,8143,59.67,39.06,1.26,rep,dem,59.67,20.61
2012,GA,Emanuel,13107,5100,2927,55,8082,63.1,36.22,0.68,rep,dem,63.1,26.88
2012,GA,Evans,13109,2268,1268,27,3563,63.65,35.59,0.76,rep,dem,63.65,28.06
2012,GA,Fannin,13111,7857,2028,127,10012,78.48,20.26,1.27,rep,dem,78.48,58.22
2012,GA,Fayette,13113,38075,19736,726,58537,65.04,33.72,1.24,rep,dem,65.04,31.32
2012,GA,Floyd,13115,22733,9640,456,32829,69.25,29.36,1.39,rep,dem,69.25,39.89
2012,GA,Forsyth,13117,65908,14571,1203,81682,80.69,17.84,1.47,rep,dem,80.69,62.85
2012,GA,Franklin,13119,6114,1499,146,7759,78.8,19.32,1.88,rep,dem,78.8,59.48
2012,GA,Fulton,13121,137124,255470,4661,397255,34.52,64.31,1.17,dem,rep,64.31,29.79
2012,GA,Gilmer,13123,8926,1958,134,11018,81.01,17.77,1.22,rep,dem,81.01,63.24
2012,GA,Glascock,13125,1135,176,22,1333,85.15,13.2,1.65,rep,dem,85.15,71.95
2012,GA,Glynn,13127,20893,11950,281,33124,63.08,36.08,0.85,rep,dem,63.08,27.0
2012,GA,Gordon,13129,13197,3440,249,16886,78.15,20.37,1.47,rep,dem,78.15,57.78
2012,GA,Grady,13131,5924,3419,50,9393,63.07,36.4,0.53,rep,dem,63.07,26.67
2012,GA,Greene,13133,5071,3201,51,8323,60.93,38.46,0.61,rep,dem,60.93,22.47
2012,GA,Gwinnett,13135,159855,132509,4132,296496,53.91,44.69,1.39,rep,dem,53.91,9.22
2012,GA,Habersham,13137,12166,2301,155,14622,83.2,15.74,1.06,rep,dem,83.2,67.46
2012,GA,Hall,13139,47481,12999,844,61324,77.43,21.2,1.38,rep,dem,77.43,56.23
2012,GA,Hancock,13141,769,3308,11,4088,18.81,80.92,0.27,dem,rep,80.92,62.11
2012,GA,Haralson,13143,8446,1789,137,10372,81.43,17.25,1.32,rep,dem,81.43,64.18
2012,GA,Harris,13145,11197,4145,145,15487,72.3,26.76,0.94,rep,dem,72.3,45.54
2012,GA,Hart,13147,6517,2870,116,9503,68.58,30.2,1.22,rep,dem,68.58,38.38
2012,GA,Heard,13149,3160,948,61,4169,75.8,22.74,1.46,rep,dem,75.8,53.06
2012,GA,Henry,13151,46774,43761,813,91348,51.2,47.91,0.89,rep,dem,51.2,3.29
2012,GA,Houston,13153,34662,22702,639,58003,59.76,39.14,1.1,rep,dem,59.76,20.62
2012,GA,Irwin,13155,2538,1141,30,3709,68.43,30.76,0.81,rep,dem,68.43,37.67
2012,GA,Jackson,13157,19135,4238,313,23686,80.79,17.89,1.32,rep,dem,80.79,62.9
2012,GA,Jasper,13159,4136,1845,50,6031,68.58,30.59,0.83,rep,dem,68.58,37.99
2012,GA,Jeff Davis,13161,3996,1275,65,5336,74.89,23.89,1.22,rep,dem,74.89,51.0
2012,GA,Jefferson,13163,2999,4261,38,7298,41.09,58.39,0.52,dem,rep,58.39,17.3
2012,GA,Jenkins,13165,1887,1488,15,3390,55.66,43.89,0.44,rep,dem,55.66,11.77
2012,GA,Johnson,13167,2440,1305,27,3772,64.69,34.6,0.72,rep,dem,64.69,30.09
2012,GA,Jones,13169,7744,4274,87,12105,63.97,35.31,0.72,rep,dem,63.97,28.66
2012,GA,Lamar,13171,4899,2602,91,7592,64.53,34.27,1.2,rep,dem,64.53,30.26
2012,GA,Lanier,13173,1820,1114,38,2972,61.24,37.48,1.28,rep,dem,61.24,23.76
2012,GA,Laurens,13175,11950,7513,136,19599,60.97,38.33,0.69,rep,dem,60.97,22.64
2012,GA,Lee,13177,10314,3196,110,13620,75.73,23.47,0.81,rep,dem,75.73,52.26
2012,GA,Liberty,13179,5565,10457,147,16169,34.42,64.67,0.91,dem,rep,64.67,30.25
2012,GA,Lincoln,13181,2807,1586,33,4426,63.42,35.83,0.75,rep,dem,63.42,27.59
2012,GA,Long,13183,2306,1442,52,3800,60.68,37.95,1.37,rep,dem,60.68,22.73
2012,GA,Lowndes,13185,21327,17470,323,39120,54.52,44.66,0.83,rep,dem,54.52,9.86
2012,GA,Lumpkin,13187,8647,2055,196,10898,79.34,18.86,1.8,rep,dem,79.34,60.48
2012,GA,Macon,13189,1545,3211,25,4781,32.32,67.16,0.52,dem,rep,67.16,34.84
2012,GA,Madison,13191,8443,2494,152,11089,76.14,22.49,1.37,rep,dem,76.14,53.65
2012,GA,Marion,13193,1733,1412,25,3170,54.67,44.54,0.79,rep,dem,54.67,10.13
2012,GA,McDuffie,13195,5475,4044,70,9589,57.1,42.17,0.73,rep,dem,57.1,14.93
2012,GA,McIntosh,13197,3409,2864,68,6341,53.76,45.17,1.07,rep,dem,53.76,8.59
2012,GA,Meriwether,13199,4856,4331,76,9263,52.42,46.76,0.82,rep,dem,52.42,5.66
2012,GA,Miller,13201,1905,852,18,2775,68.65,30.7,0.65,rep,dem,68.65,37.95
2012,GA,Mitchell,13205,4155,4081,39,8275,50.21,49.32,0.47,rep,dem,50.21,0.89
2012,GA,Monroe,13207,8361,3785,128,12274,68.12,30.84,1.04,rep,dem,68.12,37.28
2012,GA,Montgomery,13209,2662,1135,34,3831,69.49,29.63,0.89,rep,dem,69.49,39.86
2012,GA,Morgan,13211,6186,2753,88,9027,68.53,30.5,0.97,rep,dem,68.53,38.03
2012,GA,Murray,13213,8443,2542,228,11213,75.3,22.67,2.03,rep,dem,75.3,52.63
2012,GA,Muscogee,13215,27510,42573,484,70567,38.98,60.33,0.69,dem,rep,60.33,21.35
2012,GA,Newton,13217,20982,21851,393,43226,48.54,50.55,0.91,dem,rep,50.55,2.01
2012,GA,Oconee,13219,13098,4421,288,17807,73.56,24.83,1.62,rep,dem,73.56,48.73
2012,GA,Oglethorpe,13221,4251,1914,95,6260,67.91,30.58,1.52,rep,dem,67.91,37.33
2012,GA,Paulding,13223,40846,15825,704,57375,71.19,27.58,1.23,rep,dem,71.19,43.61
2012,GA,Peach,13225,5287,6148,78,11513,45.92,53.4,0.68,dem,rep,53.4,7.48
2012,GA,Pickens,13227,10547,1975,151,12673,83.22,15.58,1.19,rep,dem,83.22,67.64
2012,GA,Pierce,13229,5667,1124,55,6846,82.78,16.42,0.8,rep,dem,82.78,66.36
2012,GA,Pike,13231,6668,1356,84,8108,82.24,16.72,1.04,rep,dem,82.24,65.52
2012,GA,Polk,13233,9811,3615,175,13601,72.13,26.58,1.29,rep,dem,72.13,45.55
2012,GA,Pulaski,13235,2444,1219,18,3681,66.4,33.12,0.49,rep,dem,66.4,33.28
2012,GA,Putnam,13237,6215,2926,78,9219,67.42,31.74,0.85,rep,dem,67.42,35.68
2012,GA,Quitman,13239,510,612,6,1128,45.21,54.26,0.53,dem,rep,54.26,9.05
2012,GA,Rabun,13241,5754,1559,128,7441,77.33,20.95,1.72,rep,dem,77.33,56.38
2012,GA,Randolph,13243,1271,1770,17,3058,41.56,57.88,0.56,dem,rep,57.88,16.32
2012,GA,Richmond,13245,25845,52560,583,78988,32.72,66.54,0.74,dem,rep,66.54,33.82
2012,GA,Rockdale,13247,15716,22023,330,38069,41.28,57.85,0.87,dem,rep,57.85,16.57
2012,GA,Schley,13249,1286,448,14,1748,73.57,25.63,0.8,rep,dem,73.57,47.94
2012,GA,Screven,13251,3287,2774,39,6100,53.89,45.48,0.64,rep,dem,53.89,8.41
2012,GA,Seminole,13253,2245,1478,46,3769,59.56,39.21,1.22,rep,dem,59.56,20.35
2012,GA,Spalding,13255,14911,9898,272,25081,59.45,39.46,1.08,rep,dem,59.45,19.99
2012,GA,Stephens,13257,7221,2131,137,9489,76.1,22.46,1.44,rep,dem,76.1,53.64
2012,GA,Stewart,13259,745,1323,8,2076,35.89,63.73,0.39,dem,rep,63.73,27.84
2012,GA,Sumter,13261,5378,6375,78,11831,45.46,53.88,0.66,dem,rep,53.88,8.42
2012,GA,Talbot,13263,1202,2265,24,3491,34.43,64.88,0.69,dem,rep,64.88,30.45
2012,GA,Taliaferro,13265,323,636,4,963,33.54,66.04,0.42,dem,rep,66.04,32.5
2012,GA,Tattnall,13267,4706,1897,62,6665,70.61,28.46,0.93,rep,dem,70.61,42.15
2012,GA,Taylor,13269,1948,1572,18,3538,55.06,44.43,0.51,rep,dem,55.06,10.63
2012,GA,Telfair,13271,2480,1805,51,4336,57.2,41.63,1.18,rep,dem,57.2,15.57
2012,GA,Terrell,13273,1834,2544,20,4398,41.7,57.84,0.45,dem,rep,57.84,16.14
2012,GA,Thomas,13275,11156,7653,139,18948,58.88,40.39,0.73,rep,dem,58.88,18.49
2012,GA,Tift,13277,9185,4660,82,13927,65.95,33.46,0.59,rep,dem,65.95,32.49
2012,GA,Toombs,13279,6524,2746,74,9344,69.82,29.39,0.79,rep,dem,69.82,40.43
2012,GA,Towns,13281,4876,1273,62,6211,78.51,20.5,1.0,rep,dem,78.51,58.01
2012,GA,Treutlen,13283,1652,1074,24,2750,60.07,39.05,0.87,rep,dem,60.07,21.02
2012,GA,Troup,13285,15179,10547,260,25986,58.41,40.59,1.0,rep,dem,58.41,17.82
2012,GA,Turner,13287,2028,1510,21,3559,56.98,42.43,0.59,rep,dem,56.98,14.55
2012,GA,Twiggs,13289,1907,2270,25,4202,45.38,54.02,0.59,dem,rep,54.02,8.64
2012,GA,Union,13291,8773,2139,164,11076,79.21,19.31,1.48,rep,dem,79.21,59.9
2012,GA,Upson,13293,7230,3959,74,11263,64.19,35.15,0.66,rep,dem,64.19,29.04
2012,GA,Walker,13295,16247,5274,365,21886,74.23,24.1,1.67,rep,dem,74.23,50.13
2012,GA,Walton,13297,29036,8148,413,37597,77.23,21.67,1.1,rep,dem,77.23,55.56
2012,GA,Ware,13299,7941,3900,98,11939,66.51,32.67,0.82,rep,dem,66.51,33.84
2012,GA,Warren,13301,990,1529,7,2526,39.19,60.53,0.28,dem,rep,60.53,21.34
2012,GA,Washington,13303,4035,4714,58,8807,45.82,53.53,0.66,dem,rep,53.53,7.71
2012,GA,Wayne,13305,7557,2596,111,10264,73.63,25.29,1.08,rep,dem,73.63,48.34
2012,GA,Webster,13307,601,582,4,1187,50.63,49.03,0.34,rep,dem,50.63,1.6
2012,GA,Wheeler,13309,1366,772,22,2160,63.24,35.74,1.02,rep,dem,63.24,27.5
2012,GA,White,13311,8651,1671,154,10476,82.58,15.95,1.47,rep,dem,82.58,66.63
2012,GA,Whitfield,13313,19305,7210,346,26861,71.87,26.84,1.29,rep,dem,71.87,45.03
2012,GA,Wilcox,13315,2053,1060,15,3128,65.63,33.89,0.48,rep,dem,65.63,31.74
2012,GA,Wilkes,13317,2635,2087,39,4761,55.35,43.84,0.82,rep,dem,55.35,11.51
2012,GA,Wilkinson,13319,2246,2181,23,4450,50.47,49.01,0.52,rep,dem,50.47,1.46
2012,GA,Worth,13321,5869,2487,60,8416,69.74,29.55,0.71,rep,dem,69.74,40.19
